ticker,cik,title,sic,sic_description
AAL,0000006201,American Airlines Group Inc.,4512,"Air Transportation, Scheduled"
AAPL,0000320193,Apple Inc.,3571,Electronic Computers
ABBV,0001551152,AbbVie Inc.,2834,Pharmaceutical Preparations
ABNB,0001559720,"Airbnb, Inc.",7340,Services-To Dwellings & Other Buildings
ACN,0001467373,Accenture plc,7389,"Services-Business Services, NEC"
ADBE,0000796343,ADOBE INC.,7372,Services-Prepackaged Software
ADI,0000006281,ANALOG DEVICES INC,3674,Semiconductors & Related Devices
AEP,0000004904,AMERICAN ELECTRIC POWER CO INC,4911,Electric Services
ALB,0000915913,ALBEMARLE CORP,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers"
AMAT,0000006951,APPLIED MATERIALS INC /DE,3674,Semiconductors & Related Devices
AMD,0000002488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices
AMGN,0000318154,AMGEN INC,2836,"Biological Products, (No Diagnostic Substances)"
AMT,0001053507,AMERICAN TOWER CORP /MA/,6798,Real Estate Investment Trusts
AMZN,0001018724,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses
APD,0000002969,"Air Products & Chemicals, Inc.",2810,Industrial Inorganic Chemicals
ARE,0001035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",6798,Real Estate Investment Trusts
ASML,0000937966,ASML HOLDING NV,3559,"Special Industry Machinery, NEC"
AVB,0000915912,AVALONBAY COMMUNITIES INC,6798,Real Estate Investment Trusts
AVGO,0001730168,Broadcom Inc.,3674,Semiconductors & Related Devices
AXP,0000004962,AMERICAN EXPRESS CO,6199,Finance Services
BA,0000012927,BOEING CO,3721,Aircraft
BABA,0001577552,Alibaba Group Holding Ltd,7389,"Services-Business Services, NEC"
BAC,0000070858,BANK OF AMERICA CORP /DE/,6021,National Commercial Banks
BBY,0000764478,BEST BUY CO INC,5731,"Retail-Radio, Tv & Consumer Electronics Stores"
BIDU,0001329099,"Baidu, Inc.",7370,"Services-Computer Programming, Data Processing, Etc."
BIIB,0000875045,BIOGEN INC.,2836,"Biological Products, (No Diagnostic Substances)"
BKNG,0001075531,Booking Holdings Inc.,4700,Transportation Services
BMY,0000014272,BRISTOL MYERS SQUIBB CO,2834,Pharmaceutical Preparations
C,0000831001,CITIGROUP INC,6021,National Commercial Banks
CAT,0000018230,CATERPILLAR INC,3531,Construction Machinery & Equip
